id_def_dato_custom,id_producto,valor
4a5YVLLaOZ,ESxAPoqSQl,6
mdiiRE4KIc,qRhb2czyjs,30
GpvE4QpO7O,qRhb2czyjs,eum est est
jwseaKJERW,qRhb2czyjs,25
8zWPY78r1F,qRhb2czyjs,27
cbBx8SUGx3,lvVkJaOGXq,33
uLB8Zz2V1B,lvVkJaOGXq,24
zqjxJUiEDA,lvVkJaOGXq,3
JS60pJzEeW,kxw8hm60SA,voluptas quod voluptas
NQaoJZaUr5,kxw8hm60SA,odio sed et
fp4wo2Qpaq,zKBifNDNi1,iusto ratione et
UhP1pZXsOq,zKBifNDNi1,37
Oaec4knDyw,C5KugieCMt,consequatur repellat dolorum
oozQjsVc3R,C5KugieCMt,6
J67sibmpUh,Pa3II0stic,8
1Jd8eZzqJa,Pa3II0stic,6
QShYB4xke8,Pa3II0stic,ipsam molestiae ullam
IfF4suZwDZ,Vk1T5htmHW,32
827mZCSEBm,klPbxFNoRM,25
D3rKwSQrwd,0lWr72clNZ,35
5WcnkxViXd,0lWr72clNZ,aut doloremque accusantium
pOX3RMYzKF,0lWr72clNZ,doloremque est corrupti
xQYhN6YQ2z,0lWr72clNZ,laboriosam quia perspiciatis
aVGGIPZ05z,1EMTYF5tQE,2
6assOKcSro,1EMTYF5tQE,6
8l6YWS6Gvp,OeNeweD24T,unde amet cum
v4AZSwBI86,OeNeweD24T,6
7j0xMAWEuL,i5dWBQBWEP,nisi aut quo
fkF56Gk6CQ,XzMvWz9d2n,delectus et est
TIEQln7nmR,SqBB94oYse,10
G6LddoH7rX,SqBB94oYse,2
J5Indn1hYI,sbqov6n6Fz,voluptatem voluptate quia
qXAeA5d1rh,oKknUJTNCW,aut voluptas minus
gTjLao2cL0,oKknUJTNCW,11
DiCiXFa9fV,oKknUJTNCW,21
tlggl1HlLa,oKknUJTNCW,ut beatae nesciunt
8P3vxmVCWM,AuszajVJG4,21
jW7HbrmQfK,AuszajVJG4,illum omnis at
VSgpG8DqYn,BNLZJN93dY,ipsum vel pariatur
Qn3DnRmaAE,NYsJEGZFKr,qui eos culpa
E5tBoGa7uZ,NYsJEGZFKr,1
4l2eas24Jg,NYsJEGZFKr,0
9rcSjyRtld,s0QpH5pQfj,20
WHGEpMz9QX,s0QpH5pQfj,7
ZPGJVMLwu1,s0QpH5pQfj,6
SvVpybhDCK,s0QpH5pQfj,38
QwteyK9rno,N5GhXSW1zF,error non cumque
D9alB0CEtl,AXrlHRp4UI,quidem atque id
mvZWH7B5yg,AXrlHRp4UI,suscipit rerum quia
j8elyArNOa,AXrlHRp4UI,15
SI2XWr3gyC,MJNCQTmPsB,aut nobis ratione
nihT6TpH4x,MJNCQTmPsB,9
hd6Ciiyxad,MJNCQTmPsB,29
8fG5ZRwFF6,MJNCQTmPsB,et suscipit qui
oKyxNpJV29,YwMg9XPqPx,23
m6rW50BwbU,ZkKWFveKSG,14
YI7sjwjzTz,ZkKWFveKSG,sit placeat quia
AVNIYFd6gW,ZkKWFveKSG,31
p6NV03Ep1d,ZkKWFveKSG,occaecati tenetur repudiandae
7foKQunYQw,w3PbmpFPfE,4
AtZRpfat6z,w3PbmpFPfE,27
lSn56O4Y46,w3PbmpFPfE,voluptas corrupti ut
GlR5hKq40d,aIHuxjQeqK,27
1o4ipZWdU7,aIHuxjQeqK,et sint repudiandae
NhLUwJoiz0,aIHuxjQeqK,37
DQITGgVE7x,F8A1057YBR,9
vmlzQV7T3J,F8A1057YBR,33
dAwpQL9Npk,F8A1057YBR,17
3RG750vc5J,AIk2p6Vp35,15
NMruWmevW9,AIk2p6Vp35,27
S9QayAa0aT,AIk2p6Vp35,17
9zhVhy1nbS,AIk2p6Vp35,13
ZnS4v9uDSV,6D0NK1EZkI,rerum reiciendis dolore
jkLDnfY2Ji,6D0NK1EZkI,36
WNp2lCikTf,07NmR07qgG,quidem adipisci quidem
slVAuF4MaJ,07NmR07qgG,15
nbRMSrf0Et,S5LRzPPSlK,29
SiXjgjzp7l,S5LRzPPSlK,earum et non
3Mj5kh0BU9,M8xwcfjGQF,39
EQlkDEC3mg,M8xwcfjGQF,15
ITYa4uIq0e,M8xwcfjGQF,24
Uxhqz9QVuW,FBlNDqJ8aK,36
h0vVbNnnya,sk9QhBCmFY,ut non rerum
NN2HzqwJ5B,sk9QhBCmFY,28
nrhP0lDeDM,sk9QhBCmFY,maxime dicta dicta
8kbaoNyqVj,sk9QhBCmFY,13
i0ZVHUZPWC,j5PndeuDXG,ut consequatur consequatur
lTxrdzu9LM,cYsjf9Dgpo,24
dzvlxtFMvd,cYsjf9Dgpo,dicta dolor asperiores
rRqO7pou61,RCc7Pih6k1,nostrum quia et
RAImBmk2QI,RCc7Pih6k1,26
Q2gPY9Q7eM,ukYzSDjHtH,31
QrFDhHC73m,ukYzSDjHtH,ab aut quia
VbSAyX9kYK,ukYzSDjHtH,25
Vi35K7fMwM,ukYzSDjHtH,4
mqNPMJvOzO,gDvdftcvZo,consequatur magni est
qMR8i5XFgb,gDvdftcvZo,commodi temporibus voluptas
HQVl3TTq4d,gDvdftcvZo,30
HIyGxZFW1g,vxKEto7XQv,repudiandae et maiores
j069DaDNSr,vxKEto7XQv,38
6VJBG6Ib04,vxKEto7XQv,perferendis voluptate temporibus
8NlAp216ar,mVBI3fZakR,19
8gykZtksAV,mVBI3fZakR,1
pfc6AMQ2tZ,mVBI3fZakR,26
jZKp9aLnub,MmVPMRNCNH,39
CheVdndomG,MmVPMRNCNH,ut aut reiciendis
6Xx5pR84zy,MmVPMRNCNH,7
QE3gYeJOCe,d0QkLPwbii,9
mbIOHx7bvm,d0QkLPwbii,34
oE02vWCGhE,d0QkLPwbii,7
UtIY2kzfst,3sWxsrjzv5,27
uGJR4AWj67,3sWxsrjzv5,3
Ylta416HhL,3sWxsrjzv5,19
CFl9KbPmcd,OTMQR2QoCP,8
MJurXBZzLD,OTMQR2QoCP,ut ipsa vitae
gzE2aWpWMk,Sfm3zDgo7N,dolor autem repellendus
MeVTlyyPiq,Sfm3zDgo7N,voluptatem repudiandae cum
ZSYLDB7DXT,Sfm3zDgo7N,suscipit quia nesciunt
hBKZh4meki,Sfm3zDgo7N,4
bqA95jI7yT,raD8ehyjwF,26
dkKo2MHmF1,raD8ehyjwF,15
fnq2BIuaQK,raD8ehyjwF,repellendus et laborum
QBdp1OE3ZP,raD8ehyjwF,6
NqZXJLQbYw,N72GGT4jRk,26
lMmSJNIHuh,N72GGT4jRk,id et sequi
30cYUffW8E,N72GGT4jRk,17
1ZLhc0xsXe,tlyc95tfLf,laborum voluptate possimus
kBhsKgdxNu,tlyc95tfLf,29
x5QYI5z35k,tlyc95tfLf,19
iodsw8YpYY,fV3qjeEMJ7,25
r9IGvqhcZY,V5r9Vwbapr,12
H3uaZMtvLu,V5r9Vwbapr,39
OYEVf3cTyd,nYmj9DVfjS,quisquam eaque dolor
hggBQKK1Kl,nYmj9DVfjS,4
3W5L2rZ02H,idSj0eSeNI,rerum voluptas tempore
IcjnOpm81Q,zKx4J6tAYb,est et dicta
QYcdWxZIi2,mRg7Ibwgh7,11
4870gs6epi,mRg7Ibwgh7,voluptatem aut fuga
WuFjqfwCrA,1q9EQNoaB1,37
P8ai42zaiq,1q9EQNoaB1,7
BpjpmfmbRA,1q9EQNoaB1,quod molestias ullam
yg9D3nyXYy,1q9EQNoaB1,11
b6lmbbImfc,WWuSRrfsuU,4
LBASKJ6tWK,WWuSRrfsuU,20
Rl5xpTNCEk,WWuSRrfsuU,10
APvqLwMff1,WWuSRrfsuU,27
qTIAGcuJ99,ddMbqo4aJE,at tempora alias
UVuXVPu1zx,Fw6fiqjJjY,15
kML5vchRUZ,Fw6fiqjJjY,rerum maxime sunt
EZaxcEHGZQ,m06kDeiaDh,voluptatem dolore ratione
7a6f40K7dK,m06kDeiaDh,7
9IE5SkSvFG,X1XWtsoPsh,25
oF8kONgdhF,X1XWtsoPsh,pariatur eius aliquid
FN34qV9tbo,X1XWtsoPsh,15
iufORxvV6m,N7MZEBFGCu,minima debitis est
Qmult09z0K,N7MZEBFGCu,32
WcxOxdRIJe,N7MZEBFGCu,sed magni ipsum
lLXNu3bTu9,i1HXgp8XJM,26
xLSwhxgjLo,i1HXgp8XJM,7
eS5gHn3kFg,aBwwJWFUxN,10
xbCRe0Zt81,aBwwJWFUxN,34
FzTmYJVxSB,aBwwJWFUxN,at non provident
4MZYJysgUB,12WuI9N88n,26
UP4sRNHy5n,12WuI9N88n,iure inventore dolorem
hLKEclXQAr,P3FZdm78f4,provident rerum voluptas
evk7XgslCn,P3FZdm78f4,25
Q3fq5VjF58,y0FnNmYsi0,et rerum reprehenderit
